,model,n_edges,cls_type,C-index,IBS,Survival Model
230,Baseline,0,MLP,0.650381679389313,0.201836379142034,MTLR
231,Baseline,0,MLP,0.6274809160305344,0.1945060267214906,DeepSurv
232,Baseline,0,MLP,0.5895334174022698,0.2261492263321168,MTLR
233,Baseline,0,MLP,0.5958385876418664,0.2056814669535948,DeepSurv
234,Baseline,0,MLP,0.7096474953617811,0.1596887626504116,MTLR
235,Baseline,0,MLP,0.5871985157699443,0.1833919869051214,DeepSurv
236,Baseline,0,MLP,0.6016635859519408,0.1334085586051617,MTLR
237,Baseline,0,MLP,0.6053604436229205,0.1468296465554911,DeepSurv
238,Baseline,0,MLP,0.5410714285714285,0.1500512137367445,MTLR
239,Baseline,0,MLP,0.6303571428571428,0.1784600170027479,DeepSurv
240,MLP,0,MLP,0.6815217391304348,0.1454504296920858,MTLR
241,MLP,0,MLP,0.6641304347826087,0.1771583782172371,DeepSurv
242,MLP,0,MLP,0.5792910447761194,0.1309518512833131,MTLR
243,MLP,0,MLP,0.5475746268656716,0.1399569174558759,DeepSurv
244,MLP,0,MLP,0.3802395209580838,0.2650128459044424,MTLR
245,MLP,0,MLP,0.592814371257485,0.2057270032707846,DeepSurv
246,MLP,0,MLP,0.393048128342246,0.2806949802395915,MTLR
247,MLP,0,MLP,0.3970588235294117,0.2170246835522572,DeepSurv
248,MLP,0,MLP,0.5824742268041238,0.1589895977330518,MTLR
249,MLP,0,MLP,0.5559646539027983,0.1918999405822876,DeepSurv
250,MLP,0,MLP,0.5611111111111111,0.1636306682729344,MTLR
251,MLP,0,MLP,0.6166666666666667,0.1632372142842462,DeepSurv
252,MLP,0,MLP,0.5488410596026491,0.1807491868735877,MTLR
253,MLP,0,MLP,0.6581125827814569,0.1991002643100124,DeepSurv
254,MLP,0,MLP,0.6836555360281195,0.1919547589720965,MTLR
255,MLP,0,MLP,0.6063268892794376,0.1914862101247506,DeepSurv
256,MLP,0,MLP,0.6179698216735254,0.22967046295441,MTLR
257,MLP,0,MLP,0.5246913580246914,0.201196741062286,DeepSurv
258,MLP,0,MLP,0.5644654088050315,0.1905791771191051,MTLR
